NAME,POS,GP,AB,R,H,AVG,2B,3B,HR,RBI,TB,BB,K,SB,OBP,SLG,OPS,WAR
Joey OrtizMIL,3B,126,385,49,92,0.239,22,4,10,49,152,54,88,9,0.339,0.395,0.733,2.6
Ha-Seong KimSD,SS,121,403,60,94,0.233,16,3,11,47,149,58,77,22,0.33,0.37,0.7,2.6
Miguel RojasLAD,SS,94,283,35,82,0.29,21,0,4,33,115,18,29,7,0.332,0.406,0.739,2.6
Manny MachadoSD,3B,138,536,70,147,0.274,26,0,26,94,251,42,108,9,0.326,0.468,0.795,2.6
Victor RoblesSEA/WSH,CF,78,210,32,63,0.3,14,0,4,21,89,19,47,26,0.379,0.424,0.803,2.6
Jazz Chisholm Jr.MIA/NYY,3B,134,513,69,134,0.261,19,4,22,66,227,49,139,35,0.33,0.442,0.772,2.6
Shea LangeliersOAK,C,124,438,51,97,0.221,16,2,25,69,192,34,131,4,0.282,0.438,0.721,2.6
Jordan WestburgBAL,3B,101,390,55,105,0.269,25,5,18,58,194,21,90,6,0.317,0.497,0.815,2.6
Matt VierlingDET,CF,130,477,72,124,0.26,26,5,16,54,208,31,105,5,0.307,0.436,0.743,2.6
Jose IglesiasNYM,2B,69,202,28,64,0.317,14,1,3,23,89,11,31,5,0.371,0.441,0.812,2.6
Christian WalkerARI,1B,114,424,64,108,0.255,22,0,25,77,205,50,122,2,0.337,0.483,0.821,2.5
Max MuncyLAD,3B,59,191,37,44,0.23,12,0,14,39,98,34,66,0,0.346,0.513,0.859,2.5
Oneil CruzPIT,SS,132,496,65,132,0.266,33,3,19,72,228,42,167,22,0.325,0.46,0.784,2.5
JJ BledayOAK,CF,144,524,71,128,0.244,40,4,20,56,236,59,112,1,0.323,0.45,0.773,2.5
Heliot RamosSF,CF,107,419,46,112,0.267,20,2,20,67,196,34,123,6,0.322,0.468,0.79,2.5
Brandon LoweTB,2B,93,328,50,80,0.244,19,3,18,51,159,33,94,5,0.322,0.485,0.806,2.5
Matt WallnerMIN,LF,64,184,25,48,0.261,16,1,13,34,105,22,80,3,0.377,0.571,0.948,2.5
Edmundo SosaPHI,SS,83,231,35,61,0.264,11,4,7,30,101,12,61,7,0.319,0.437,0.756,2.4
Colton CowserBAL,LF,139,448,70,109,0.243,21,3,20,62,196,49,153,8,0.325,0.438,0.763,2.4
LaMonte Wade Jr.SF,1B,104,285,41,76,0.267,15,0,6,29,109,59,80,1,0.396,0.382,0.778,2.4
Cedric MullinsBAL,CF,134,395,61,92,0.233,15,3,17,50,164,36,88,27,0.304,0.415,0.719,2.4
Kevin NewmanARI,SS,105,280,39,79,0.282,17,1,3,28,107,15,46,8,0.316,0.382,0.699,2.4
Pete Crow-ArmstrongCHC,CF,107,317,37,77,0.243,12,6,8,44,125,17,81,26,0.289,0.394,0.684,2.4
Ryan MountcastleBAL,1B,118,452,53,120,0.265,29,2,13,61,192,27,106,3,0.305,0.425,0.73,2.3
Pete AlonsoNYM,1B,146,550,83,131,0.238,30,0,31,80,254,62,154,3,0.325,0.462,0.787,2.3
Joey BartPIT,C,68,210,36,56,0.267,9,0,13,42,104,19,58,0,0.343,0.495,0.838,2.3
Nolan ArenadoSTL,3B,139,529,64,141,0.267,21,0,16,65,210,40,85,2,0.32,0.397,0.716,2.2
Blake PerkinsMIL,CF,107,343,48,86,0.251,12,2,6,40,120,38,96,20,0.326,0.35,0.676,2.2
Isaac ParedesCHC/TB,3B,139,493,59,114,0.231,24,1,19,74,197,70,95,0,0.344,0.4,0.743,2.2
Christian YelichMIL,LF,73,270,44,85,0.315,12,3,11,42,136,40,58,21,0.406,0.504,0.909,2.2
