NAME,POS,GP,GS,QS,ERA,W,L,SV,HLD,IP,H,ER,HR,BB,K,K/9,WHIP,WAR
Peter StrzeleckiCLE,RP,10,0,0,2.31,0,0,0,1,11.2,11,3,1,3,9,6.9,1.2,0.2
Chris MartinBOS,RP,40,0,0,3.43,2,1,2,13,39.1,41,15,5,2,46,10.5,1.09,0.2
Connor GillispieCLE,RP,3,0,0,2.25,0,0,0,0,8,4,2,0,5,8,9,1.13,0.2
James PaxtonBOS/LAD,SP,21,21,7,4.4,9,3,0,0,100.1,95,49,12,50,73,6.5,1.45,0.2
Ryan PresslyHOU,RP,54,0,0,3.66,2,3,3,21,51.2,53,21,4,17,55,9.6,1.35,0.2
Sean Reid-FoleyNYM,RP,23,0,0,1.66,1,2,0,4,21.2,13,4,0,14,25,10.4,1.25,0.2
Josh StaumontMIN,RP,25,0,0,3.7,1,0,0,1,24.1,17,10,0,14,18,6.7,1.27,0.2
Drew SmithNYM,RP,19,0,0,3.06,1,1,2,6,17.2,18,6,2,9,23,11.7,1.53,0.2
Gus VarlandCHW/LAD,RP,17,0,0,3.12,0,0,0,0,17.1,19,6,2,6,19,9.9,1.44,0.2
Michel OtanezOAK,RP,30,0,0,3.77,1,0,1,2,28.2,25,12,2,16,49,15.4,1.43,0.2
J.B. BukauskasMIL,RP,6,0,0,1.5,0,0,0,2,6,3,1,1,1,6,9,0.67,0.2
Ty MaddenDET,SP,3,1,0,2.57,1,0,0,0,14,13,4,0,4,10,6.4,1.21,0.2
Beau BrieskeDET,RP,38,9,0,4.07,2,4,0,5,55.1,52,25,3,26,58,9.4,1.41,0.2
Nick VespiBAL,RP,11,0,0,2.92,0,0,0,0,12.1,10,4,1,3,9,6.6,1.05,0.2
Keider MonteroDET,SP,15,14,4,4.88,5,6,0,0,83,80,45,14,26,65,7,1.28,0.2
Paul SewaldARI,RP,42,0,0,4.31,1,2,16,1,39.2,35,19,6,10,43,9.8,1.13,0.2
Prelander BerroaCHW,RP,9,0,0,3.86,0,0,0,0,9.1,6,4,1,5,16,15.4,1.18,0.2
Shawn DubinHOU,RP,29,2,0,4.15,1,1,1,0,43.1,43,20,2,26,45,9.3,1.59,0.2
Jhony BritoSD,RP,26,0,0,4.12,1,2,0,0,43.2,49,20,4,10,29,6,1.35,0.2
Angel ZerpaKC,RP,53,0,0,4.4,1,0,0,10,47,56,23,6,18,41,7.9,1.57,0.2
Julian AguiarCIN,SP,5,5,1,5.06,1,0,0,0,21.1,21,12,5,8,11,4.6,1.36,0.2
Jordan LylesKC,RP,5,0,0,0,0,0,0,0,5,2,0,0,2,3,5.4,0.8,0.2
Diego CastilloMIN,RP,6,0,0,2.25,0,0,0,0,8,5,2,0,7,4,4.5,1.5,0.2
Graham AshcraftCIN,SP,15,15,3,5.24,5,5,0,0,77.1,89,45,11,27,57,6.6,1.5,0.2
Ron MarinaccioNYY,RP,16,0,0,3.86,1,0,0,1,23.1,18,10,4,10,25,9.6,1.2,0.2
Cionel PerezBAL,RP,55,0,0,3.91,2,0,2,20,48.1,38,21,0,26,42,7.8,1.32,0.2
Matt ManningDET,SP,5,5,0,4.88,0,1,0,0,27.2,31,15,3,12,23,7.5,1.55,0.2
Daniel Lynch IVKC,RP,10,3,0,4.75,1,0,1,0,30.1,23,16,6,9,22,6.5,1.05,0.2
Jake BirdCOL,RP,30,0,0,4.72,2,2,1,4,34.1,36,18,4,23,27,7.1,1.72,0.2
Colin SelbyBAL/KC,RP,4,0,0,3,0,0,0,0,6,2,2,0,4,4,6,1,0.2
Josh SborzTEX,RP,16,0,0,3.38,2,1,0,8,16,14,6,1,4,16,9,1.13,0.2
Brendon LittleTOR,RP,43,0,0,3.6,1,2,1,6,40,35,16,6,18,32,7.2,1.33,0.2
Max LazarPHI,RP,10,0,0,3.27,0,0,0,0,11,9,4,2,2,8,6.5,1,0.2
Gerson GarabitoTEX,RP,14,2,0,3.86,0,2,0,0,21,14,9,2,10,17,7.3,1.14,0.2
Andrew NardiMIA,RP,59,0,0,5.07,3,2,0,15,49.2,44,28,7,18,70,12.7,1.25,0.2
Jeff CriswellCOL,RP,8,0,0,3.6,1,0,0,0,10,10,4,3,4,11,9.9,1.4,0.2
Alexis DiazCIN,RP,56,0,0,4.3,2,5,27,0,52.1,40,25,6,28,51,8.8,1.3,0.2
Carlos HernandezKC,RP,20,0,0,3.38,0,1,0,0,21.1,18,8,0,11,20,8.4,1.36,0.1
Kyle HurtLAD,RP,3,1,0,1.35,0,1,0,0,6.2,8,1,0,1,3,4.1,1.35,0.1
Randy VasquezSD,SP,19,19,5,5.18,4,7,0,0,92,118,53,13,28,58,5.7,1.59,0.1
Steven CruzKC,RP,3,0,0,0,0,0,0,0,3.1,0,0,0,0,2,5.4,0,0.1
Luis GuerreroBOS,RP,2,0,0,0,0,0,0,0,2,1,0,0,0,2,9,0.5,0.1
Fernando CruzCIN,RP,66,3,0,4.99,3,8,0,23,61.1,51,34,8,30,99,14.5,1.32,0.1
Kevin HergetMIL,RP,5,0,0,2.08,0,0,1,1,8.2,4,2,1,3,7,7.3,0.81,0.1
Kumar RockerTEX,SP,1,1,0,2.25,0,0,0,0,4,3,1,1,2,7,15.8,1.25,0.1
Naoyuki UwasawaBOS,SP,2,0,0,2.25,0,0,0,0,4,2,1,0,2,3,6.8,1,0.1
Dominic SmithBOS/CIN,1B,3,0,0,0,0,0,0,0,3,2,0,0,1,0,0,1,0.1
Andrew KniznerTEX,C,2,0,0,0,0,0,0,0,3,1,0,0,2,0,0,1,0.1
Joel KuhnelHOU/TB,RP,6,0,0,4.5,0,0,0,0,10,8,5,1,0,5,4.5,0.8,0.1
Patrick SandovalLAA,SP,16,16,4,5.08,2,8,0,0,79.2,85,45,8,35,81,9.2,1.51,0.1
DL HallMIL,SP,8,6,1,4.01,1,1,0,1,33.2,35,15,5,17,34,9.1,1.54,0.1
Daniel DuarteMIN,RP,2,0,0,2.25,1,0,0,0,4,2,1,1,1,3,6.8,0.75,0.1
Yoendrys GomezNYY,RP,5,0,0,3.97,0,0,0,0,11.1,11,5,2,7,10,7.9,1.59,0.1
Eli VillalobosMIA,RP,3,0,0,2.08,0,0,0,0,4.1,3,1,1,2,3,6.2,1.15,0.1
Josh WinderMIN,RP,4,0,0,3,0,0,0,0,9,7,3,0,1,10,10,0.89,0.1
Jack KochanowiczLAA,SP,8,8,5,5.08,2,5,0,0,44.1,54,25,6,9,15,3,1.42,0.1
Austin VothSEA,RP,64,0,0,3.3,2,5,0,13,57.1,42,21,9,14,57,8.9,0.98,0.1
Yency AlmonteCHC,RP,17,0,0,3.45,1,0,1,6,15.2,9,6,1,8,20,11.5,1.09,0.1
Brandon LeibrandtCIN,RP,1,0,0,0,0,0,0,0,2.1,1,0,0,1,0,0,0.86,0.1
Brandon BielakOAK/HOU,RP,14,0,0,4.88,1,0,0,0,24,33,13,4,9,12,4.5,1.75,0.1
Josh MaciejewskiNYY,RP,4,0,0,2.57,0,0,0,0,7,4,2,1,2,7,9,0.86,0.1
Yariel RodriguezTOR,SP,18,18,2,4.42,1,6,0,0,73.1,63,36,10,34,75,9.2,1.32,0.1
Drew ThorpeCHW,SP,9,9,5,5.48,3,3,0,0,44.1,35,27,8,21,25,5.1,1.26,0.1
Ky BushCHW,SP,4,4,1,5.6,0,3,0,0,17.2,20,11,2,16,11,5.6,2.04,0.1
Chasen ShreveCOL,RP,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0.1
David BuchananCIN,SP,1,0,0,2.7,0,0,0,0,3.1,2,1,0,2,1,2.7,1.2,0.1
Kyle FreelandCOL,SP,18,18,9,4.97,5,7,0,0,96,110,53,14,24,76,7.1,1.4,0.1
Griffin CanningLAA,SP,29,28,6,5.35,5,13,0,0,156.1,161,93,28,59,117,6.7,1.41,0.1
Adam KloffensteinSTL,SP,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.1
Tristan BeckSF,RP,2,0,0,3.38,0,0,0,0,5.1,5,2,2,2,5,8.4,1.31,0.1
Nabil CrismattLAD,RP,5,0,0,2.57,1,1,0,0,7,7,2,1,0,6,7.7,1,0.1
Victor GonzalezNYY,RP,27,0,0,3.86,2,1,2,3,23.1,13,10,3,13,11,4.2,1.11,0.1
Lake BacharMIA,RP,3,0,0,0,0,0,0,0,2,0,0,0,0,4,18,0,0.1
Ben CaspariusLAD,SP,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.1
Jack O'LoughlinOAK,RP,4,0,0,4.66,0,0,0,0,9.2,13,5,1,5,6,5.6,1.86,0.1
Hayden BirdsongSF,SP,13,13,1,4.74,3,5,0,0,57,45,30,10,36,68,10.7,1.42,0.1
Jacob BarnesWSH,RP,58,0,0,4.38,8,2,0,2,61.2,61,30,9,17,52,7.6,1.26,0.1
Tommy NanceTOR,RP,15,0,0,3.24,0,1,0,0,16.2,10,6,2,7,15,8.1,1.02,0.1
Austin WarrenSF,RP,3,0,0,1.5,0,0,0,0,6,4,1,1,3,3,4.5,1.17,0.1
